Location,Latitude,Longitude,Time Zone
Baltimore,39.290385,39.290385,-5
NYC,40.712784,-74.005941,-5
Paris,48.856614,2.352222,1
London,51.507351,-0.127758,0
Hong Kong,22.396428,114.109497,8
Singapore,1.352083,103.819836,8
Taipei,25.032969,121.565418,8
Beijing,39.904211,116.407395,8
Seoul,37.566535,126.977969,9
Dublin,53.349805,-6.26031,0
Bahrain,26.0667,50.5577,3
Dubai,25.204849,55.270783,4
Dallas,32.776664,-96.796988,-6
Salt Lake City,40.760779,-111.891047,-7
Durham,35.994033,-78.898619,-5
Zurich,47.376887,8.541694,1
Riyadh,24.713552,46.675296,3
Kuala Lumpur,3.139003,101.686855,8
Gambier,40.375619,-82.397104,-5
Palo Alto,37.441883,-122.143019,-8
San Francisco,37.774929,-122.419416,-8
Los Angeles,34.052234,-118.243685,-8
Boston,42.360082,-71.05888,-5
St. Andrews,56.335054,-2.806343,0
Abu Dhabi,24.299174,54.697277,4
Al Khobar,26.217191,50.197138,3
Muscat,23.58589,58.405923,4
Philadelpia,39.952584,-75.165222,-5
Budapest,47.497912,19.040235,1
DC,38.907192,-77.036871,-5
Greenville,34.852618,-82.39401,-5
Syndey,-33.867487,151.20699,11
Melbourne,-37.814107,144.96328,11
Geneva,46.204391,6.143158,1
Houston,29.760427,-95.369803,-6
Dornoch,57.87907,-4.028026,0
Rosemary Beach,30.279692,-86.014573,-6
