Location,Arrival Time,Arrival Date,Dep. Time,Dep. Date,
Baltimore,0:00,1/1/16,14:30,1/5/16,
NYC,16:45,1/5/16,17:10,1/7/16,
Paris,6:30,1/8/16,18:20,1/8/16,
London,18:30,1/8/16,21:00,1/8/16,
Hong Kong,16:45,1/9/16,11:35,1/15/16, 
Singapore,15:35,1/15/16,6:50,1/17/16,
Hong Kong,10:45,1/17/16,15:55,1/18/16,
Taipei,17:35,1/18/16,16:20,1/19/16,
Beijing,19:35,1/19/16,19:15,1/20/16,
Seoul,22:20,1/20/16,20:00,1/23/16,
Hong Kong,23:55,1/23/16,23:30,1/25/16,
London,4:50,1/26/16,10:00,1/28/16,
Dublin,11:20,1/28/16,16:30,1/28/16,
London,17:50,1/28/16,21:50,1/30/16,
Bahrain,7:20,1/31/16,14:00,2/2/16,
Dubai,16:15,2/2/16,2:25,2/4/16
London,6:20,2/4/16,10:45,2/4/16
Dallas,14:45,2/4/16,17:25,2/4/16
Salt Lake City,19:16,2/4/16,12:40,2/7/16
Baltimore,18:35,2/7/16,14:45,2/13/16
Durham,15:55,2/13/16,17:05,2/14/16
Baltimore,18:05,2/14/16,12:30,2/19/16
NYC,14:45,2/19/16,15:14,2/21/16
Baltimore,17:12,2/21/16,7:34,2/25/16
NYC,9:48,2/25/16,8:00,2/27/16
Baltimore,10:11,2/27/16,19:20,3/3/16
London,7:35,3/4/16,11:15,3/6/16
Baltimore,14:25,3/6/16,12:30,3/10/16
NYC,14:25,3/10/16,7:00,3/11/16
Baltimore,9:15,3/11/16,19:30,3/15/16
London,6:25,3/16/16,15:31,3/16/16
Paris,18:53,3/16/16,15:45,3/17/16
Zurich,17:00,3/17/16,16:20,3/18/16
Paris,17:40,3/18/16,7:45,3/19/16
Zurich,9:00,3/19/16,15:30,3/19/16
London,16:15,3/19/16,11:25,3/21/16
Hong Kong,7:00,3/22/16,7:25,3/25/16
Seoul,11:45,3/25/16,23:50,3/27/16
Dubai,5:05,3/28/16,7:00,3/28/16
Riyadh,8:00,3/28/16,21:25,3/29/16
Dubai,0:25,3/30/16,2:45,3/30/16
Singapore,14:05,3/30/16,11:05,4/1/16
Kuala Lumpur,12:05,4/1/16,16:30,4/1/16
Singapore,17:30,4/1/16,22:45,4/2/16
London,5:05,4/3/16,10:45,4/3/16
Baltimore,13:45,4/3/16,7:34,4/7/16
NYC,9:48,4/7/16,15:00,4/8/16
Baltimore,17:05,4/8/16,13:25,4/9/16
Durham,14:40,4/9/16,15:00,4/12/16
Baltimore,16:10,4/12/16,7:34,4/14/16
NYC,9:48,4/14/16,17:00,4/14/16
Baltimore,19:07,4/14/16,14:00,4/22/16
Gambier,15:15,4/22/16,11:55,4/25/16
Baltimore,13:10,4/25/16,16:30,4/27/16
NYC,18:45,4/27/16,12:00,4/28/16
Baltimore,14:11,4/28/16,11:34,4/30/16
NYC,13:50,4/30/16,16:00,5/1/16
Baltimore,18:07,5/1/16,12:22,5/5/16
Palo Alto,15:19,5/5/16,13:02,5/9/16
Baltimore,21:15,5/9/16,18:30,5/17/16
London,6:50,5/18/16,17:31,5/19/16
Paris,20:47,5/19/16,14:40,5/20/16
London,16:02,5/20/16,10:45,5/23/16
Baltimore,13:45,5/23/16,7:30,5/28/16
Salt Lake City,10:15,5/28/16,17:00,5/28/16
San Francisco,18:12,5/28/16,18:05,5/29/16
Los Angeles,19:20,5/29/16,12:40,5/31/16
Baltimore,20:59,5/31/16,7:05,6/2/16
Boston,8:30,6/2/16,12:45,6/2/16
